Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
208033237,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",3,Tor Books,Kindle Edition,1242,,2017,,2026/04/09,,,read,,,,1,0
8133792,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",,"=""""","=""""",0,,Kindle Edition,,,1808,,2015/01/02,to-read,to-read (#98),to-read,,,,0,0
228646231,"If Anyone Builds It, Everyone Dies: Why Superhuman AI Would Kill Us All",Eliezer Yudkowsky,"Yudkowsky, Eliezer",Nate Soares,"=""""","=""""",0,"Little, Brown and Company",Hardcover,272,2025,2025,,2026/01/21,to-read,to-read (#283),to-read,,,,0,0
230272982,"The Strength of the Few (Hierarchy, #2)",James Islington,"Islington, James",,"=""1982141255""","=""9781982141257""",3,S&S/Saga Press,Kindle Edition,736,2025,2025,2026/01/07,2026/01/07,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",3,Gallery / Saga Press,Kindle Edition,640,2023,2023,,2025/12/24,,,read,,,,1,0
58470813,Scattered All Over the Earth (Scattered All Over the Earth #1),Yōko Tawada,"Tawada, Yōko",Margaret Mitsutani,"=""0811229289""","=""9780811229289""",0,New Directions,Paperback,219,2022,2018,,2025/12/20,to-read,to-read (#282),to-read,,,,0,0
40612032,"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #16)",Michael    Connelly,"Connelly, Michael",,"=""""","=""""",0,"Little, Brown and Company",Kindle Edition,405,2018,2005,,2025/12/19,to-read,to-read (#281),to-read,,,,0,0
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",3,Vintage,ebook,304,2024,2024,2025/12/10,2024/04/23,,,read,,,,1,0
218595143,Software as a Science: Unlock Limitless Recurring Revenue Without Losing Control,Dan Martell,"Martell, Dan","Johnny Page, Marcel Petitpas, Patrick Campbell, Matt Verlaque","=""1961462311""","=""9781961462311""",0,SaaS Academy Press,Kindle Edition,333,2024,,,2025/12/09,to-read,to-read (#280),to-read,,,,0,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,HarperTorch,Mass Market Paperback,540,2006,1974,,2025/11/29,to-read,to-read (#279),to-read,,,,0,0
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",0,Scribner,Hardcover,368,2025,2025,,2025/11/11,to-read,to-read (#278),to-read,,,,0,0
18608116,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",,"=""""","=""""",0,Public Domain Books,Kindle Edition,287,2009,1808,,2015/01/02,to-read,to-read (#96),to-read,,,,0,0
62050269,"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,"Bennett, Max Solomon",,"=""""","=""""",0,Mariner Books,Hardcover,432,2023,2023,,2025/07/25,to-read,to-read (#277),to-read,,,,0,0
