name,type,start_date,distance_m,moving_time,elevation_gain_m
Outdoor Running,Outdoor Running,2026-06-04T23:16:46.000Z,3495,1166,70
Outdoor Cycling,Outdoor Cycling,2026-06-04T02:08:39.000Z,6843,2135,43
Outdoor Cycling,Outdoor Cycling,2026-06-04T00:57:02.000Z,247,114,6
Outdoor Cycling,Outdoor Cycling,2026-06-04T00:01:36.000Z,6104,1161,13
Outdoor Running,Outdoor Running,2026-06-01T23:45:08.000Z,2572,837,25
Outdoor Walking,Outdoor Walking,2026-05-19T21:51:05.000Z,440,346,12
Outdoor Running,Outdoor Running,2026-05-19T21:28:43.000Z,3350,1308,81
Outdoor Running,Outdoor Running,2026-05-17T13:59:38.000Z,3245,1075,79
Outdoor Walking,Outdoor Walking,2026-05-13T12:32:51.000Z,1468,1766,8
Golf,Golf,2026-05-12T07:59:33.000Z,0,10871,0
Outdoor Walking,Outdoor Walking,2026-05-10T10:21:37.000Z,6053,6494,119
Golf,Golf,2026-05-08T13:35:27.000Z,0,15470,0
Golf,Golf,2026-05-05T16:39:41.000Z,0,15529,0
Golf,Golf,2026-05-04T20:10:12.000Z,0,14647,0
Golf,Golf,2026-05-03T18:41:58.000Z,0,19710,0
Golf,Golf,2026-05-03T18:38:52.000Z,0,178,0
Golf,Golf,2026-05-03T00:14:04.000Z,0,9430,0
Golf,Golf,2026-05-02T21:52:59.000Z,0,1614,0
Golf,Golf,2026-05-02T17:42:42.000Z,0,6861,0
Golf,Golf,2026-05-02T17:39:28.000Z,0,189,0
Golf,Golf,2026-05-01T18:03:05.000Z,0,14990,0
Golf,Golf,2026-05-01T18:00:28.000Z,0,153,0
Golf,Golf,2026-04-29T02:31:22.000Z,0,1104,0
Golf,Golf,2026-04-29T02:17:53.000Z,0,803,0
Golf,Golf,2026-04-29T02:11:30.000Z,0,378,0
Golf,Golf,2026-04-29T01:53:14.000Z,0,800,0
Golf,Golf,2026-04-29T01:44:23.000Z,0,526,0
Golf,Golf,2026-04-29T01:42:25.000Z,0,114,0
Golf,Golf,2026-04-29T01:25:59.000Z,0,980,0
Golf,Golf,2026-04-29T01:22:11.000Z,0,224,0
Golf,Golf,2026-04-29T01:07:21.000Z,0,883,0
Golf,Golf,2026-04-29T01:02:00.000Z,0,315,0
Golf,Golf,2026-04-29T00:59:54.000Z,0,122,0
Golf,Golf,2026-04-29T00:53:00.000Z,0,408,0
Golf,Golf,2026-04-29T00:19:35.000Z,0,1095,0
Golf,Golf,2026-04-29T00:03:27.000Z,0,900,0
Golf,Golf,2026-04-28T22:17:14.000Z,0,6331,0
Golf,Golf,2026-04-28T22:15:51.000Z,0,79,0
Outdoor Running,Outdoor Running,2026-04-28T14:43:16.000Z,8452,3200,61
Golf,Golf,2026-04-27T17:41:24.000Z,0,13694,0
Indoor Running,Indoor Running,2026-04-26T15:59:55.000Z,3039,1245,0
Indoor Running,Indoor Running,2026-04-24T19:23:54.000Z,3171,1233,0
Indoor Running,Indoor Running,2026-04-23T19:52:43.000Z,3054,900,0
Outdoor Running,Outdoor Running,2026-04-22T20:27:58.000Z,4865,2024,134
Outdoor Walking,Outdoor Walking,2026-04-21T22:37:03.000Z,3073,2550,83
Outdoor Running,Outdoor Running,2026-04-16T22:20:56.000Z,3380,1287,82
Outdoor Running,Outdoor Running,2026-04-14T21:54:31.000Z,5004,1769,144
Outdoor Cycling,Outdoor Cycling,2026-04-12T17:19:25.000Z,3164,781,41
Outdoor Cycling,Outdoor Cycling,2026-04-12T16:21:35.000Z,2836,1103,30
Outdoor Cycling,Outdoor Cycling,2026-04-11T23:42:39.000Z,2308,563,39
Outdoor Cycling,Outdoor Cycling,2026-04-11T22:37:11.000Z,2395,718,9
Indoor Running,Indoor Running,2026-04-11T20:50:03.000Z,3700,1200,23
Golf,Golf,2026-04-10T13:10:56.000Z,0,16482,0
Outdoor Running,Outdoor Running,2026-04-08T21:55:24.000Z,5012,1799,155
Indoor Running,Indoor Running,2026-04-06T18:46:54.000Z,2745,901,11
Outdoor Walking,Outdoor Walking,2026-04-02T20:56:42.000Z,1360,1178,22
Outdoor Walking,Outdoor Walking,2026-04-02T20:35:55.000Z,1393,1041,62
Outdoor Walking,Outdoor Walking,2026-03-29T02:39:28.000Z,1420,1266,13
Outdoor Walking,Outdoor Walking,2026-03-28T23:58:28.000Z,1326,1440,54
Outdoor Running,Outdoor Running,2026-03-20T00:37:37.000Z,2372,731,13
Outdoor Running,Outdoor Running,2026-03-17T20:46:30.000Z,3205,1049,40
Downhill Skiing,Downhill Skiing,2026-03-15T17:35:52.000Z,19536,1828,2071
Outdoor Running,Outdoor Running,2026-03-11T22:22:11.000Z,3037,951,38
Outdoor Walking,Outdoor Walking,2026-03-11T21:03:44.000Z,1008,923,13
Outdoor Walking,Outdoor Walking,2026-03-11T00:52:32.000Z,1198,1231,20
Downhill Skiing,Downhill Skiing,2026-03-08T17:58:08.000Z,10321,917,1186
Outdoor Walking,Outdoor Walking,2026-03-05T22:14:46.000Z,2677,2429,43
Downhill Skiing,Downhill Skiing,2026-03-03T18:40:22.000Z,21092,2494,2242
Outdoor Walking,Outdoor Walking,2026-03-02T23:51:49.000Z,462,361,8
Outdoor Running,Outdoor Running,2026-03-02T23:40:25.000Z,2107,676,13
Outdoor Walking,Outdoor Walking,2026-03-02T00:55:44.000Z,1130,1562,45
Outdoor Walking,Outdoor Walking,2026-03-01T22:00:28.000Z,1335,1166,12
Downhill Skiing,Downhill Skiing,2026-03-01T18:45:29.000Z,18540,2833,1981
Outdoor Walking,Outdoor Walking,2026-03-01T18:10:59.000Z,1304,963,46
Downhill Skiing,Downhill Skiing,2026-02-26T21:17:03.000Z,16974,1838,1888
Outdoor Walking,Outdoor Walking,2026-02-24T20:26:11.000Z,673,490,11
Outdoor Running,Outdoor Running,2026-02-24T20:17:38.000Z,1618,501,8
Outdoor Walking,Outdoor Walking,2026-02-22T23:26:27.000Z,478,392,11
Outdoor Running,Outdoor Running,2026-02-22T23:17:22.000Z,1659,499,9
Downhill Skiing,Downhill Skiing,2026-02-22T17:35:11.000Z,23902,2652,2800
Outdoor Walking,Outdoor Walking,2026-02-18T03:00:58.000Z,1677,1672,10
Outdoor Walking,Outdoor Walking,2026-02-18T00:13:37.000Z,610,652,48
Outdoor Running,Outdoor Running,2026-02-09T22:47:01.000Z,2363,742,24
Outdoor Walking,Outdoor Walking,2026-02-05T17:50:29.000Z,1335,1533,14
Outdoor Walking,Outdoor Walking,2026-02-05T01:06:29.000Z,5662,4785,77
Outdoor Walking,Outdoor Walking,2026-02-04T18:24:45.000Z,2326,2113,52
Outdoor Walking,Outdoor Walking,2026-02-04T17:27:38.000Z,1408,1131,1
